name of the event,Type,why,cost,date ,time,about,url,Location
"Yuvan Shankar Raaja - The Goat, Live In Concert","Pop, Regional | 3hrs",Nil,₹ 499 onwards,Sat 12 Oct 2024,at 7:00 PM,"The moment we have all been waiting for has arrived – Yuvan Shankar Raja, the maestro himself, is ready to set south India ablaze this year! Imagine listening to a man who healed your soul on live, igniting a chain reaction of sheer musical brilliance. If you follow his Music, you know that Yuvan’s compositions are woven into the very fabric of your soul. His tunes resonate through the valleys of our emotions, and now, as he prepares to take the stage live, it is a golden opportunity to witness the epitome of concert magic and be a part of history in the making!",https://in.bookmyshow.com/events/u1-s-long-drive-live-in-concert-coimbatore/ET00394640,"Venue To Be Announced: Coimbatore
Coimbatore, Tamil Nadu India"
,,,,,,,,
UNNIMENON LIVE IN CONCERT with Super SingersAccoustic | Tamil | All age groups | 3hrs 30minsBookWed 02 Oct 2024 at 6:30 PMHindustan College Grounds: Coimbatore₹ 300 onwards,Accoustic | Tamil | All age groups | 3hrs 30mins,"Why should you attend?To listen the melodious voice of Unnimenon after a long time at Coimbatore.. With his dance tooTo listen and enjoy the scintillating performances of Super Singers HARIPRIYA and VARSHAIt will be a real treat for all the music lovers to watch and listenAboutA grand musical concert celebrating 40 years of Legendary Play Back Singer Shri. UNNIMENON along with Young and Energetic Super Singers Bullet & Water Pocket song fame HARIPRIYA Zee Sarigamapa fame VARSHA, Film Actor Madhuvanthii, Play Back Singer Ramya Nandakumar, Upcoming Singer Ritvik. Its going to be a visual treat for all the music lovers in and around Coimbatore. Unnimenon sir and AR Rahman combination of songs are always happy to listen and enjoy. He will be perfporming other music directors songs also ( like SA RAJKUMAR, SIRPI etc ). Mounarraagam. Moreover Unnimenon sir has received FILMFARE award this year for the malayalam song Rathi Pushpam which he is going to perform live in this concert. World class musicians of Mounarraagam Muralii`s team will be entertaining the audience with their scintillating performance along with many other singers. Overall its going to be an EVENT NOT TO BE MISSEDRead MoreTerms & ConditionsYou may also likeYuvan Shankar Raaja - The Goat, Live In ConcertLollapalooza India 2025King of Kings 2024Shillong Cherry Blossom Festival 2024Bandland 2024",₹ 300 onwards,Wed 02 Oct 2024,at 6:30 PM,"A grand musical concert celebrating 40 years of Legendary Play Back Singer Shri. UNNIMENON along with Young and Energetic Super Singers Bullet & Water Pocket song fame HARIPRIYA Zee Sarigamapa fame VARSHA, Film Actor Madhuvanthii, Play Back Singer Ramya Nandakumar, Upcoming Singer Ritvik. Its going to be a visual treat for all the music lovers in and around Coimbatore. Unnimenon sir and AR Rahman combination of songs are always happy to listen and enjoy. He will be perfporming other music directors songs also ( like SA RAJKUMAR, SIRPI etc ). Mounarraagam. Moreover Unnimenon sir has received FILMFARE award this year for the malayalam song Rathi Pushpam which he is going to perform live in this concert. World class musicians of Mounarraagam Muralii`s team will be entertaining the audience with their scintillating performance along with many other singers. Overall its going to be an EVENT NOT TO BE MISSED",https://in.bookmyshow.com/events/unnimenon-live-in-concert-with-super-singers/ET00409854,"Hindustan College Grounds: Coimbatore
Avinashi Road, behind Nava India, Udayampalayam, Coimbatore, Tamil Nadu 641028, India"
"Oktoberfest Coimbatore 2024Jazz, Pop | German, English | All age groups | 5hrsBookFri 18 Oct 2024 - Sun 20 Oct 2024The Grand Regent: Coimbatore₹ 800 onwards","Jazz, Pop | German, English | All age groups | 5hrs","Why should you attend?Enjoy authentic German cuisine by Chef Kurt Henkensmeier.Dance to live German music and Oktoberfest tunes by band Blechsauga.Fun games and contests for all ages to enjoy!AboutCelebrate Oktoberfest 2024: A Bavarian Extravaganza in Coimbatore!Join us for the second edition of Coimbatore`s very own Oktoberfest, hosted by the Goethe-Zentrum Coimbatore from October 18th to 20th, 2024, at the Grand Regent Hotel. Experience the best of Bavarian culture and festivities right in the heart of South India!We’re excited to bring you a vibrant, authentic Oktoberfest experience featuring German food, music, and entertainment. Renowned German Chef Kurt Henkensmeier returns this year to curate a mouth-watering selection of German delicacies that will transport your taste buds straight to Bavaria.Along with culinary delights, enjoy live performances of traditional German music by Oktoberfest Music Band Blechsauga that will keep you dancing and entertained throughout the event. The festive spirit continues with exciting games and fun activities for all, including the crowd-favorite stein-holding contest and other engaging activities for both kids and adults.Each entry ticket entitles you to a limited German dish and beverage at the venue. A wide variety of additional food options will be available for purchase throughout the event.Bring your friends and family and celebrate each day at the three-day fest filled with great food, music, and unforgettable memories. Don’t miss out on the Oktoberfest spirit! Grab your tickets now!Read MoreTerms & ConditionsYou may also likeYuvan Shankar Raaja - The Goat, Live In ConcertLollapalooza India 2025Shillong Cherry Blossom Festival 2024King of Kings 2024UNNIMENON LIVE IN CONCERT with Super Singers",₹ 800 onwards,Fri 18 Oct 2024 - Sun 20 Oct 2024,Fri 18 Oct 2024 - Sun 20 Oct 2024,Celebrate Oktoberfest 2024: A Bavarian Extravaganza in Coimbatore!,https://in.bookmyshow.com/events/oktoberfest-coimbatore-2024/ET00411943,"The Grand Regent: Coimbatore
708, Avinashi Road, Coimbatore, Tamil Nadu 641008, India"
"King of Kings 2024Bollywood, Pop, Regional | Tamil | 3yrs + | 4hrsBookSat 19 Oct 2024 at 6:00 PMHindusthan College of Arts and Science Auditoriumâ‚¹ 250Â onwards","Bollywood, Pop, Regional | Tamil | 3yrs + | 4hrs","Why should you attend?An evening of melodiesVibe with celebrity singers & music loversMagical fusion of sound and lights AboutBK Entertainments and YESS BOSS sdn bhd Malaysia presents King of Kings 2024, a magnificent music festival curated by renowned music composer Mr.Karthik Raja. This grand event set to take place on Saturday, October 19th, at 6:00 PM at Hindusthan College Of Arts & Science, located on Avinasi Road, Coimbatore (behind Nava India). The festival will feature an impressive lineup of Indian idols, including Hariharan, Â SP Shailaja, Unnimenon, saindavi , Shivangi, Ajay Krishna, Priyanka, Priya Jerson, Ma Ka Pa, and anchor VJ Shobana along with numerous other eminent musicians.Read MoreLayoutTerms & ConditionsYou may also likeYuvan Shankar Raaja - The Goat, Live In ConcertLollapalooza India 2025UNNIMENON LIVE IN CONCERT with Super SingersCigarettes After Sex X's India Tour 2025 BengaluruShillong Cherry Blossom Festival 2024","₹ 250
 onwards",Sat 19 Oct 2024,at 6:00 PM,"BK Entertainments and YESS BOSS sdn bhd Malaysia presents King of Kings 2024, a magnificent music festival curated by renowned music composer Mr.Karthik Raja. This grand event set to take place on Saturday, October 19th, at 6:00 PM at Hindusthan College Of Arts & Science, located on Avinasi Road, Coimbatore (behind Nava India). The festival will feature an impressive lineup of Indian idols, including Hariharan, Â SP Shailaja, Unnimenon, saindavi , Shivangi, Ajay Krishna, Priyanka, Priya Jerson, Ma Ka Pa, and anchor VJ Shobana along with numerous other eminent musicians.",https://in.bookmyshow.com/events/king-of-kings-2024/ET00404794,"Hindusthan College of Arts and Science Auditorium 

Hindusthan Gardens, Behind Nava India, Avinashi Road, Udayampalayam, Coimbatore, Tamil Nadu 641028, India
"
U1’s Long Drive - Live In Concert,"Pop, Regional | Tamil | 3hrs",Nil,₹ 499  onwards,Sat 12 Oct,at 7:00 PM,"The moment we've all been waiting for has arrived – Yuvan Shankar Raja, the maestro himself, is ready to set south India ablaze this year! Imagine listening to a man who healed your soul, igniting a chain reaction of sheer musical brilliance. If you follow his Music, you know that Yuvan’s compositions are woven into the very fabric of your soul. His tunes resonate through the valleys of our emotions, and now, as he prepares to take the stage live, it's a golden opportunity to witness the epitome of concert magic and be a part of history in the making!",https://in.bookmyshow.com/events/u1-s-long-drive-live-in-concert/ET00394641,"Venue To Be Announced: Coimbatore
Coimbatore, Tamil Nadu India"
,,,,,,,,
,,,,,,,,
Small World Social Mixer,"Business, Dating, Self Improvement, Travel | Bengali, English, Hindi, Kannada, Malayalam, Tamil, Telugu | 18yrs + | 2hrs","Meet new people in a fun and relaxed setting.You will have the chance to dive into meaningful conversations that can lead to deeper connections.Safe and welcoming space for everyone, regardless of your background or social skills. ","₹ 49
 onwards",Sat 21 Sep 2024 - Sun 10 Nov 2024,2 Hrs,"New in town and looking for new connections? Been a while since you actually met someone you can call a friend? Let’s face it, making friends as an adult should not be as hard as explaining TikTok to your grandma.
We`ve crafted a unique speed friending experience where you might find your next bestie, gym buddy, or at the very least, someone who agrees that pineapple does NOT belong on pizza.",https://in.bookmyshow.com/events/speed-friending/ET00376601,"Cafe Summer 96: Coimbatore 243, Alagesan Road, Near GCT College, Saibaba Colony, Coimbatore, Tamil Nadu 641011, India"
Coffee Conversations,"Business, Dating, Self Improvement, Technology, Travel | Bengali, English, Hindi, Kannada, Malayalam, Tamil, Telugu | All age groups |","The cozy setting provides a perfect backdrop for relaxation and genuine interaction.
Gain insights, stories and perhaps answers to questions you have pondered over a cup of coffee.
Expand your social circle with individuals who share a love for coffee and conversation.","
₹ 99
 onwards",Thu 19 Sep 2024 - Sun 27 Oct 2024,1hr 30mins,"Gather in a snug corner of warmth and comfort, cradling mugs of aromatic coffee that promise to soothe the soul. `Coffee Date` is an intimate get-together for those seeking to forge new friendships and indulge in rich, engaging conversations.Nestle into plush cushions and let the velvety whispers of steam rising from your cup invite open-hearted dialogues. If the idea of bonding over the comforting embrace of coffee entices you, come be part of `Coffee Date`, where every sip weaves a stronger connection.",https://in.bookmyshow.com/events/coffee-cuddles/ET00375016,"Cafe Summer 96: Coimbatore 243, Alagesan Road, Near GCT College, Saibaba Colony, Coimbatore, Tamil Nadu 641011, India"
